filename	encoding
encoding_results.csv	utf-8
GetPLMItmPlntInfo_P100.txt	CP932
GetSekkeiWBSJisseki.txt	CP932
KANSEI_JISSEKI.txt	SHIFT_JIS
KOUSU_JISSEKI.txt	SHIFT_JIS
KOUTEI_JISSEKI.txt	SHIFT_JIS
MARA_DL.csv	UTF-16
PP_DL_CSV_SEISAN_YOTEI.csv	UTF-16
PP_DL_CSV_ZTBP110.csv	UTF-16
SASIZU_JISSEKI.txt	CP932
V_SAGYO_TIME.txt	SHIFT_JIS
zf26.csv	CP932
zm114.txt	SHIFT_JIS
zm21.txt	CP932
ZM29.txt	SHIFT_JIS
zm37.txt	CP932
zm87n.txt	CP932
zp02.txt	CP932
ZP128_P100.txt	CP932
ZP128_P300.txt	CP932
ZP138.txt	CP932
zp160.txt	CP932
zp35.txt	CP932
zp58.txt	CP932
zp70.txt	SHIFT_JIS
zs191.txt	CP932
zs45.txt	SHIFT_JIS
ZS58MONTH.csv	CP932
ZS61KDAY.csv	CP932
zs65.txt	CP932
zs65_sss.txt	SHIFT_JIS
払出明細（大阪）_ZPR01201.txt	CP932
払出明細（滋賀）_ZPR01201.txt	CP932
未更新ファイル一覧.csv	utf-8
