MRP管理者	転記日付	WBS番号	ネットワーク・指図番号	受領者	品目コード	品目テキスト	計画数	完成数	単位（完成数）	プラント	保管場所	ﾈｯﾄﾜｰｸ完了	指図完了	入出庫伝票	明細	移動タイプ	移動区分	D/C	単価	金額	最低販売単価or製品単価	製品金額合計
B10	20241002		000010129826		U00A0249301	&NDU-130RFC22N40-I	36	1.000	PC	P100	1210		X	5002921811	0001	101	F	S	47528.00000	47528.00000	0.00000	0.00000
B10	20241007	I-0329548-20	000040157902		A00A2038400	FC-6K-20-S3-03 G1J-OMT3	3	1.000	PC	P100	1911	X		4907979197	0001	581		S	894032.00000	894032.00000	1725000.00000	1725000.00000
B10	20241007	M-0332817-10	000040159841		A00A1852300	HKD-1560GU(K)	12	12.000	PC	P100	1911	X		4907979199	0001	581		S	147729.00000	1772748.00000	196500.00000	2358000.00000
B10	20241008		000010127962		A00A0407300	YWE-RP500-AJ0	9	8.000	PC	P100	1911			5002924425	0001	101	F	S	528321.00000	4226568.00000	0.00000	0.00000
B10	20241009		000010127364		A6A686700	KSX-45MHXP ﾘｮｳｻﾝｷ	10	10.000	PC	P100	1911		X	5002924658	0001	101	F	S	190986.00000	1909860.00000	272000.00000	2720000.00000
B10	20241010		000010128122		U00A0119203	＆PC3-F150V6F8-R-B	2	2.000	PC	P100	1210		X	5002925284	0001	101	F	S	370716.00000	741432.00000	0.00000	0.00000
B10	20241010		000010128121		U00A0119303	＆PC3-F150V6F8-L-B	2	2.000	PC	P100	1210		X	5002925285	0001	101	F	S	370724.00000	741448.00000	0.00000	0.00000
B10	20241010		000010129342		U00A0198002	＆PC-F167V6F8-PV-D	3	3.000	PC	P100	1210		X	5002925286	0001	101	F	S	411249.00000	1233747.00000	0.00000	0.00000
B10	20241010		000010127903		U00A0198002	＆PC-F167V6F8-PV-D	6	6.000	PC	P100	1210		X	5002925287	0001	101	F	S	411249.00000	2467494.00000	0.00000	0.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925564	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925565	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925566	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925567	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925568	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925569	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925570	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925571	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925572	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925573	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925574	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925575	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925576	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925577	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925578	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925579	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925580	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925581	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925582	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925583	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925584	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925585	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925586	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925587	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
