MRP管理者	転記日付	WBS番号	ネットワーク・指図番号	受領者	品目コード	品目テキスト	計画数	完成数	単位（完成数）	プラント	保管場所	ﾈｯﾄﾜｰｸ完了	指図完了	入出庫伝票	明細	移動タイプ	移動区分	D/C	単価	金額	最低販売単価or製品単価	製品金額合計
B10	20250512		000010132030		A00A1457700	ID-3000PW-U1E	10	3.000	PC	P100	1910		X	5002980171	0001	101	F	S	711338.00000	2134014.00000	918000.00000	2754000.00000
B10	20250512		000010132193		U00A0119303	＆PC3-F150V6F8-L-B	1	1.000	PC	P100	1210		X	5002980170	0001	101	F	S	389956.00000	389956.00000	0.00000	0.00000
B10	20250512		000010132299		U00A0247001	＆SDU-120RFC21N30-I	20	20.000	PC	P100	1210		X	5002980173	0001	101	F	S	24564.00000	491280.00000	0.00000	0.00000
B10	20250512		000010132301		U00A0249001	&NDU-116RFC22N20-I	23	23.000	PC	P100	1210		X	5002980174	0001	101	F	S	56549.00000	1300627.00000	0.00000	0.00000
B10	20250512		000010132302		U00A0249301	&NDU-130RFC22N40-I	24	24.000	PC	P100	1210		X	5002980175	0001	101	F	S	52974.00000	1271376.00000	0.00000	0.00000
B10	20250512	M-0341541-10	000040163636		A00A2115400	HKD-15100GUT201(K)	1	1.000	PC	P100	1911	X		4908183474	0001	581		S	170437.00000	170437.00000	300000.00000	300000.00000
B10	20250514		000010132303		U00A0249501	&NDU-160RFC12N75-I	76	76.000	PC	P100	1210		X	5002980844	0001	101	F	S	41673.00000	3167148.00000	0.00000	0.00000
B10	20250520		000010132300		U00A0248101	&DLU-120RFC11N30-I	142	142.000	PC	P100	1210		X	5002981970	0001	101	F	S	39804.00000	5652168.00000	0.00000	0.00000
B10	20250520		000010131654		U0A860101	3.3KW PILOT UNIT     (J)	10	8.000	PC	P100	1210		X	5002981969	0001	101	F	S	59946.00000	479568.00000	0.00000	0.00000
B10	20250520		000010132396		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002982147	0001	101	F	S	21690.00000	21690.00000	24000.00000	24000.00000
B10	20250520		000010132396		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002982148	0001	101	F	S	21690.00000	21690.00000	24000.00000	24000.00000
B10	20250520		000010132396		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002982149	0001	101	F	S	21690.00000	21690.00000	24000.00000	24000.00000
B10	20250520		000010132396		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002982150	0001	101	F	S	21690.00000	21690.00000	24000.00000	24000.00000
B10	20250520		000010132396		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002982151	0001	101	F	S	21690.00000	21690.00000	24000.00000	24000.00000
B10	20250520		000010132396		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002982152	0001	101	F	S	21690.00000	21690.00000	24000.00000	24000.00000
B10	20250520		000010132396		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002982153	0001	101	F	S	21690.00000	21690.00000	24000.00000	24000.00000
B10	20250520		000010132396		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002982154	0001	101	F	S	21690.00000	21690.00000	24000.00000	24000.00000
B10	20250520		000010132396		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002982155	0001	101	F	S	21690.00000	21690.00000	24000.00000	24000.00000
B10	20250520		000010132396		U0A970600	SPU-2060	10	1.000	PC	P100	1911		X	5002982156	0001	101	F	S	21690.00000	21690.00000	24000.00000	24000.00000
B10	20250522		000010132520		U00A0247001	＆SDU-120RFC21N30-I	75	75.000	PC	P100	1210		X	5002982534	0001	101	F	S	24564.00000	1842300.00000	0.00000	0.00000
B10	20250523		000010132276		A00A0600101	SAC-I	10	10.000	PC	P100	1911		X	5002983197	0001	101	F	S	813479.00000	8134790.00000	995000.00000	9950000.00000
B10	20250523		000010132556		A00A1963100	MRT-10010CY       STD	5	5.000	PC	P100	1911		X	5002982850	0001	101	F	S	281995.00000	1409975.00000	374000.00000	1870000.00000
B10	20250523		000010132518		U00A0326300	FXP-RFC-4W-L16501	2	2.000	PC	P100	1210		X	5002983195	0001	101	F	S	77313.00000	154626.00000	0.00000	0.00000
B10	20250523		000010132519		U00A0326400	FXP-RFC-4W-R16501	2	2.000	PC	P100	1210		X	5002983196	0001	101	F	S	77348.00000	154696.00000	0.00000	0.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983044	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983045	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983046	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983047	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983048	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983049	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983050	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983051	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983052	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983053	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983054	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983055	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983056	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983057	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983058	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983059	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983060	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983061	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983062	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983063	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983064	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983065	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
B10	20250523		000010132690		U1A012600	UF-DP	150	1.000	PC	P100	1911			5002983066	0001	101	F	S	4611.00000	4611.00000	5000.00000	5000.00000
