Field Name,Data Type
指図／ネットワーク,object
活動番号,int64
計画開始,int64
計画終了,int64
品目,object
品目テキスト,object
指図明細数量,float64
指図明細単位,object
完成数量,float64
プラント,object
指図タイプ,object
保管場所,float64
入出庫予定,int64
入出庫明細,int64
構成品目,object
構成品目テキスト,object
構成品目保管場所,float64
所要日付,int64
所要量,float64
数量単位,object
引落数量,float64
差異数量,float64
購買発注数量,float64
購買発注単位,object
入庫数量,float64
常備／購入区分,object
MRP管理者,object
MRPタイプ,object
標準原価（単価）,float64
指図完了フラグ,float64
WBS要素,object
購買依頼,float64
購買伝票,float64
BOM明細,object
TECO,float64
DLV,float64
入出庫明細削除,float64
納入完了,float64
構成品目／外注工程,int64
購買発注削除,float64
