プラント	保管場所	品目コード	品目テキスト	指図番号	指図タイプ	MRP管理者	指図数量	実績数量	累計数量	残数量	入力日時	計画終了日	WBS要素	受注伝票番号	受注明細番号
P100	1122	P0A326100	PK-3261B  PK-3260 ﾎｶ  SUB	50119749	ZP11	PC1	12	12	12	0	2025/07/02 08:58	20250612		0000000000	000000
P100	1120	P00A0795101	IK-7951 U01 制御PCB	50119798	ZP11	PC1	10	9	9	1	2025/07/02 09:10	20250626		0000000000	000000
P100	1120	PZZA0626702	IK-6267 U02 CM100DUS-12F	50119735	ZP11	PC1	3	3	3	0	2025/07/02 09:11	20250619		0000000000	000000
P100	1120	P00A0794400	IK-7944 ﾌｨﾙﾀｺﾝPCB	50119794	ZP11	PC1	10	10	10	0	2025/07/02 09:11	20250626		0000000000	000000
P100	1120	P00A0794600	IK-7946 CHOPﾄﾞﾗｲﾌﾞPCB	50119796	ZP11	PC1	20	20	20	0	2025/07/02 09:12	20250626		0000000000	000000
P100	1120	P0A328905	IK-3289A S05 DC300V	50119902	ZP11	PC1	4	4	4	0	2025/07/02 09:12	20250626		0000000000	000000
P100	1120	P00A0794300	IK-7943 ｲﾝﾊﾞｰﾀPCB	50119793	ZP11	PC1	10	10	10	0	2025/07/02 09:13	20250626		0000000000	000000
P100	1120	970106076	IK-607F S06(F) PZA009900	50119923	ZP11	PC1	1	1	1	0	2025/07/02 09:17	20250625		0000000000	000000
P100	1120	P00A0808900	GK-8089 PCB	50119658	ZP11	PC1	1	1	1	0	2025/07/02 09:17	20250626		0000000000	000000
P100	1120	P00A0794700	IK-7947 INVﾄﾞﾗｲﾌﾞPCB	50119797	ZP11	PC1	10	10	10	0	2025/07/02 09:18	20250626		0000000000	000000
P100	1120	P00A0801001	IK-8010 U01 ﾁｮｯﾊﾟPCB	50119800	ZP11	PC1	10	10	10	0	2025/07/02 09:18	20250626		0000000000	000000
P100	1120	P00A0801000	IK-8010 ﾁｮｯﾊﾟPCB	50119799	ZP11	PC1	10	10	10	0	2025/07/02 09:19	20250626		0000000000	000000
P100	1120	P0A464806	GK-4648AS06 0-60MV/4-20MA	50118824	ZP11	PC1	3	3	3	0	2025/07/02 09:20	20250708		0000000000	000000
