プラント	指図タイプ	MRP管理者	WBS番号	指図番号	作業/活動番号	確認番号	テキスト（短）	作業区	管理キー	品目コード	品目テキスト	指図数	担当者コード	人数	工数時間	入力開始日	入力終了日	計画終了日	受注伝票番号	受注明細番号	保管場所
P100	ZP10	B50	 	10132603	0030	0015109301	総合組立	C0921	MSN	U00A0192301	80V-300A T1(UNIT)	3	02098	0	420		2025/07/01 21:30:09	20250704	0000000000	000000	1210
P100	ZPS2	CP0	E-0336423-10	40161288	0040	0014883274	製品検査	C0953	NN	A00A2079700	KCA47-55-650VL/A10-200V	2	02274	0	270		2025/07/01 21:30:12	20250718	 	 	
P100	ZPS2	CP0	E-0336423-10	40161288	1040	0014883278	検査手直し(他責)	C0980	NN	A00A2079700	KCA47-55-650VL/A10-200V	2	02274	0	60		2025/07/01 21:30:12	20250718	 	 	
P100	ZP10	B10	 	10132554	0030	0015081337	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	02692	0	15		2025/07/01 21:30:13	20250710	0000000000	000000	1911
P100	ZP10	B10	 	10132553	0030	0015081327	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	02692	0	85		2025/07/01 21:30:13	20250709	0000000000	000000	1911
P100	ZP10	B10	 	10130794	0040	0014601084	総合組立	C0921	MSN	A00A1201200	SW-V02    (REACH)	15	02692	0	160		2025/07/01 21:30:13	20250707	0000000000	000000	1911
P100	ZP10	B10	 	10132552	0030	0015081317	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	02692	0	120		2025/07/01 21:30:13	20250708	0000000000	000000	1911
P100	ZPS2	C17	G-0332765-20	40159826	0030	0014515675	総合組立	C0911	MNN	A00A2035800	KTA4W2-18.5-10KCT6 ±0°	2	02316	0	430		2025/07/01 21:30:13	20250711	 	 	
P100	ZP10	B10	 	10130794	0040	0014601084	総合組立	C0921	MSN	A00A1201200	SW-V02    (REACH)	15	03475	0	60		2025/07/01 21:30:14	20250707	0000000000	000000	1911
P100	ZPS2	CC0	G-0331386-20-01-05-01	40160470	0010	0014674269	ケース（板金）	A0310	NN	J00A6994500	別盤(LCP)_ケース	1	03304	0	52		2025/07/01 21:30:14	20250603	 	 	
P100	ZPS2	CC0	G-0331386-20-01-01	40160465	0010	0014674226	ケース（板金）	A0310	NN	J00A7160800	ケース	1	03304	0	37		2025/07/01 21:30:14	20250603	 	 	
P100	ZPS2	CC0	I-0335989-10-01-02-01	40162615	0010	0015049949	ケース（板金）	A0310	NN	J00A7101000	ｹｰｽ金具構成表(INV)	1	03304	0	42		2025/07/01 21:30:14	20250715	 	 	
P100	ZPS2	CC0	I-0335989-10-01-01-01	40162612	0010	0015049916	ケース（板金）	A0310	NN	J00A7100900	ｹｰｽ金具構成表(IO)	1	03304	0	59		2025/07/01 21:30:14	20250715	 	 	
P100	ZPS2	C27	I-0329522-10	40157888	0040	0014171158	製品検査	C0952	NN	A00A2040700	SRG-200TG-NAS	1	03896	0	450		2025/07/01 21:30:15	20250703	 	 	1911
P100	ZPS2	CG0	M-0331916-20	40159447	0040	0014484966	製品検査	C0951	NN	A00A2043200	RCC-AL3-DD-HDE-R	1	03830	0	30		2025/07/01 21:30:15	20250717	 	 	
P100	ZP10	B50	 	10132602	0030	0015109292	総合組立	C0921	MSN	A00A1311100	KTA2F2-80-300VCT1	3	03475	0	340		2025/07/01 21:30:15	20250709	0000000000	000000	1910
P100	ZPS2	C17	M-0331916-10	40159446	0040	0014484956	製品検査	C0951	NN	A00A2043100	KCA4WF7-20-16KSVC	3	03830	0	185		2025/07/01 21:30:15	20250717	 	 	1911
P100	ZPS2	C17	M-0331916-10	40159446	1040	0014484961	検査大型手直し(他責)	C0981	NN	A00A2043100	KCA4WF7-20-16KSVC	3	03830	0	90		2025/07/01 21:30:15	20250717	 	 	1911
P100	ZP10	B10	 	10132552	0030	0015081317	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	03966	0	70		2025/07/01 21:30:16	20250708	0000000000	000000	1911
P100	ZPS2	C27	I-0329522-10	40157888	1040	0014171163	検査大型手直し(他責)	C0981	NN	A00A2040700	SRG-200TG-NAS	1	03896	0	60		2025/07/01 21:30:16	20250703	 	 	1911
P100	ZP10	B10	 	10130794	0040	0014601084	総合組立	C0921	MSN	A00A1201200	SW-V02    (REACH)	15	03966	0	350		2025/07/01 21:30:16	20250707	0000000000	000000	1911
P100	ZP31	C40	 	30031854	0040	0014879643	製品検査	C0953	SN	ZSH	引取修理	1	03943	0	400		2025/07/01 21:30:16	20250711	0000336245	000010	1910
P100	ZPS2	C27	I-0329522-10	40157888	0040	0014171158	製品検査	C0952	NN	A00A2040700	SRG-200TG-NAS	1	04088	0	150		2025/07/01 21:30:16	20250703	 	 	1911
P100	ZPS2	CF0	I-0335989-10-01-02-03	40162617	1000	0015049972	ブスバー（加工）	A0410	MNN	E00A5511300	ﾌﾞｽﾊﾞｰ構成表(INV盤)	1	04188	0	10		2025/07/01 21:30:17	20250715	 	 	
P100	ZPS2	CF1	I-0326876-10-01-08-04	40163885	1000	0015294546	ブスバー（加工）	A0410	MNN	E00A3785800	ﾌﾞｽﾊﾞｰ構成表(ACSW)	1	04188	0	10		2025/07/01 21:30:17	20250710	 	 	
P100	ZPS2	C17	G-0332765-10	40159825	0040	0014515666	製品検査	C0951	NN	A00A2035700	KTA4W2-18.5-10KCT5 -15°	1	04254	0	460		2025/07/01 21:30:17	20250711	 	 	
P100	ZPS2	C27	I-0333165-20	40160111	0040	0014600902	製品検査	C0952	NN	A00A2069100	自立並列ソフト・並列試験	1	04088	0	270		2025/07/01 21:30:17	20250801	 	 	1911
P100	ZPS2	CF1	I-0326877-10-01-08-04	40163913	1000	0015294822	ブスバー（加工）	A0410	MNN	E00A3785800	ﾌﾞｽﾊﾞｰ構成表(ACSW)	1	04188	0	10		2025/07/01 21:30:17	20250710	 	 	
P100	ZP10	B50	 	10132602	0030	0015109292	総合組立	C0921	MSN	A00A1311100	KTA2F2-80-300VCT1	3	04543	0	430		2025/07/01 21:30:18	20250709	0000000000	000000	1910
P100	ZPS2	C17	G-0320928-10	40152076	0040	0013304026	製品検査	C0951	NN	A00A1979900	KTAM4W6-60/60-5K/1.67KP	1	04570	0	40		2025/07/01 21:30:18	20250716	 	 	
P100	ZPS2	C17	G-0314076-10	40147839	0040	0012453165	製品検査	C0951	NN	A00A1933100	SCAM4W12-42-6055PLX4	1	04570	0	200		2025/07/01 21:30:18	20250728	 	 	1911
P100	ZPS2	C27	I-0322599-10	40153145	0040	0013501044	製品検査	C0952	NN	A00A1980500	AU20N-A7-11-11空自三沢	1	04411	0	400		2025/07/01 21:30:18	20240610	 	 	
P100	ZPS2	C17	G-0332765-10	40159825	0040	0014515666	製品検査	C0951	NN	A00A2035700	KTA4W2-18.5-10KCT5 -15°	1	04570	0	90		2025/07/01 21:30:18	20250711	 	 	
P100	ZP10	B10	 	10132846	0040	0015252122	総合組立	C0921	MSN	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	1	04848	0	50		2025/07/01 21:30:19	20250704	0000000000	000000	1910
P100	ZPS2	C17	G-0332765-20	40159826	0040	0014515676	製品検査	C0951	NN	A00A2035800	KTA4W2-18.5-10KCT6 ±0°	2	04570	0	30		2025/07/01 21:30:19	20250711	 	 	
P100	ZP10	B10	 	10130794	0050	0014601085	製品検査	C0953	SN	A00A1201200	SW-V02    (REACH)	15	04651	0	320		2025/07/01 21:30:19	20250707	0000000000	000000	1911
P100	ZP10	B10	 	10130794	0040	0014601084	総合組立	C0921	MSN	A00A1201200	SW-V02    (REACH)	15	04848	0	200		2025/07/01 21:30:19	20250707	0000000000	000000	1911
P100	ZP10	B10	 	10132852	0040	0015274565	総合組立	C0921	MSN	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	3	04848	0	130		2025/07/01 21:30:19	20250704	0000000000	000000	1910
P100	ZP10	B10	 	10132553	0030	0015081327	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	04915	0	50		2025/07/01 21:30:20	20250709	0000000000	000000	1911
P100	ZP10	B10	 	10132552	0030	0015081317	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	04915	0	300		2025/07/01 21:30:20	20250708	0000000000	000000	1911
P100	ZP10	B10	 	10130794	0040	0014601084	総合組立	C0921	MSN	A00A1201200	SW-V02    (REACH)	15	05298	0	100		2025/07/01 21:30:20	20250707	0000000000	000000	1911
P100	ZP10	B10	 	10131638	0040	0014786357	総合組立	C0921	MSN	A6A686700	KSX-45MHXP ﾘｮｳｻﾝｷ	10	05298	0	60		2025/07/01 21:30:20	20250711	0000000000	000000	1911
P100	ZP10	B10	 	10131639	0040	0014786378	総合組立	C0921	MSN	A6A686700	KSX-45MHXP ﾘｮｳｻﾝｷ	10	04915	0	25		2025/07/01 21:30:20	20250711	0000000000	000000	1911
P100	ZP10	B10	 	10131639	0040	0014786378	総合組立	C0921	MSN	A6A686700	KSX-45MHXP ﾘｮｳｻﾝｷ	10	05298	0	60		2025/07/01 21:30:20	20250711	0000000000	000000	1911
P100	ZP10	B10	 	10130794	0040	0014601084	総合組立	C0921	MSN	A00A1201200	SW-V02    (REACH)	15	05356	0	150		2025/07/01 21:30:21	20250707	0000000000	000000	1911
P100	ZPS2	C27	I-0329522-10	40157888	0040	0014171158	製品検査	C0952	NN	A00A2040700	SRG-200TG-NAS	1	05321	0	300		2025/07/01 21:30:21	20250703	 	 	1911
P100	ZP10	B10	 	10132552	0030	0015081317	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	05298	0	25		2025/07/01 21:30:21	20250708	0000000000	000000	1911
P100	ZP10	B10	 	10132554	0030	0015081337	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	05298	0	135		2025/07/01 21:30:21	20250710	0000000000	000000	1911
P100	ZP10	B10	 	10132553	0030	0015081327	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	05298	0	25		2025/07/01 21:30:21	20250709	0000000000	000000	1911
P100	ZP10	B10	 	10132310	0040	0015025610	総合組立	C0921	MSN	A6A921400	KSX-80MHXP ﾘｮｳｻﾝ	10	91433	0	16		2025/07/01 21:30:22	20250714	0000000000	000000	1911
P100	ZP10	B10	 	10131639	0040	0014786378	総合組立	C0921	MSN	A6A686700	KSX-45MHXP ﾘｮｳｻﾝｷ	10	91433	0	15		2025/07/01 21:30:22	20250711	0000000000	000000	1911
P100	ZP10	B10	 	10132553	0030	0015081327	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	05356	0	50		2025/07/01 21:30:22	20250709	0000000000	000000	1911
P100	ZP10	B10	 	10131638	0040	0014786357	総合組立	C0921	MSN	A6A686700	KSX-45MHXP ﾘｮｳｻﾝｷ	10	91433	0	15		2025/07/01 21:30:22	20250711	0000000000	000000	1911
P100	ZP10	B10	 	10132552	0030	0015081317	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	05356	0	180		2025/07/01 21:30:22	20250708	0000000000	000000	1911
P100	ZP10	B10	 	10132552	0030	0015081317	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	91433	0	200		2025/07/01 21:30:23	20250708	0000000000	000000	1911
P100	ZP10	B10	 	10132313	0040	0015025695	総合組立	C0921	MSN	A6A921400	KSX-80MHXP ﾘｮｳｻﾝ	10	91433	0	16		2025/07/01 21:30:23	20250715	0000000000	000000	1911
P100	ZP10	B10	 	10132312	0040	0015025673	総合組立	C0921	MSN	A6A921400	KSX-80MHXP ﾘｮｳｻﾝ	10	91433	0	16		2025/07/01 21:30:23	20250715	0000000000	000000	1911
P100	ZP10	B10	 	10132314	0040	0015025716	総合組立	C0921	MSN	A6A921400	KSX-80MHXP ﾘｮｳｻﾝ	10	91433	0	16		2025/07/01 21:30:23	20250716	0000000000	000000	1911
P100	ZP10	B10	 	10132311	0040	0015025652	総合組立	C0921	MSN	A6A921400	KSX-80MHXP ﾘｮｳｻﾝ	10	91433	0	16		2025/07/01 21:30:23	20250714	0000000000	000000	1911
P100	ZP10	B10	 	10132552	0030	0015081317	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	91466	0	230		2025/07/01 21:30:24	20250708	0000000000	000000	1911
P100	ZP10	B10	 	10132553	0030	0015081327	総合組立	C0921	MSN	A00A1962600	MRT-15010C        STD	10	91466	0	40		2025/07/01 21:30:24	20250709	0000000000	000000	1911
