プラント	指図タイプ	MRP管理者	指図番号	作業/活動番号	確認番号	テキスト（短）	作業区	管理キー	品目コード	品目テキスト	予定数	工程実績	工数実績	計画終了日	WBS要素	受注伝票番号	受注明細番号
P100	ZP10	B10	10119610	0010	0011409501	メイン部品払出	CW010	SN	A00A0433401	KSX-7001CDIDRC RoHS	50	50		20250725		0000000000	000000
P100	ZP10	B10	10119610	0020	0011409502	部品仕分け	C0931	SN	A00A0433401	KSX-7001CDIDRC RoHS	50	50		20250725		0000000000	000000
P100	ZP10	B10	10119610	0040	0011409503	総合組立	C0921	SN	A00A0433401	KSX-7001CDIDRC RoHS	50	50	11915	20250725		0000000000	000000
P100	ZP10	B10	10119610	0050	0011409504	製品検査	C0953	SN	A00A0433401	KSX-7001CDIDRC RoHS	50	35	3300	20250725		0000000000	000000
P100	ZP10	B10	10119610	1000	0011409505	出荷検査	C0960	SN	A00A0433401	KSX-7001CDIDRC RoHS	50	1	80	20250725		0000000000	000000
P100	ZP10	B10	10119610	1030	0011409506	組立小型手直(自責)	CZ030	SNF	A00A0433401	KSX-7001CDIDRC RoHS	50			20250725		0000000000	000000
P100	ZP10	B10	10119610	1040	0011409507	組立小型手直(他責)	CZ040	SNF	A00A0433401	KSX-7001CDIDRC RoHS	50			20250725		0000000000	000000
P100	ZP10	B10	10119610	1050	0011409508	検査手直し(自責)	C0970	SNF	A00A0433401	KSX-7001CDIDRC RoHS	50			20250725		0000000000	000000
P100	ZP10	B10	10119610	1060	0011409509	検査手直し(他責)	C0980	SNF	A00A0433401	KSX-7001CDIDRC RoHS	50			20250725		0000000000	000000
P100	ZP10	B10	10130794	0010	0014601080	メイン部品払出	CW010	SN	A00A1201200	SW-V02    (REACH)	15	15		20250707		0000000000	000000
P100	ZP10	B10	10130794	0020	0014601081	部品仕分け	C0931	SN	A00A1201200	SW-V02    (REACH)	15	15		20250707		0000000000	000000
P100	ZP10	B10	10130794	0022	0014601091	外注加工(スクリーン印刷)	C0921	SG	A00A1201200	SW-V02    (REACH)	15			20250707		0000000000	000000
P100	ZP10	B10	10130794	0025	0014601082	外注加工	C0921	SN	A00A1201200	SW-V02    (REACH)	15			20250707		0000000000	000000
P100	ZP10	B10	10130794	0027	0015668940	外注加工	C0922	SG	A00A1201200	SW-V02    (REACH)	15			20250707		0000000000	000000
P100	ZP10	B10	10130794	0030	0014601083	外注加工	C0921	SN	A00A1201200	SW-V02    (REACH)	15			20250707		0000000000	000000
P100	ZP10	B10	10130794	0040	0014601084	総合組立	C0921	MSN	A00A1201200	SW-V02    (REACH)	15	15	5735	20250707		0000000000	000000
P100	ZP10	B10	10130794	0050	0014601085	製品検査	C0953	SN	A00A1201200	SW-V02    (REACH)	15	15	920	20250707		0000000000	000000
P100	ZP10	B10	10130794	1000	0014601086	出荷検査	C0960	SN	A00A1201200	SW-V02    (REACH)	15	1		20250707		0000000000	000000
P100	ZP10	B10	10130794	1030	0014601087	組立小型手直(自責)	CZ030	SNF	A00A1201200	SW-V02    (REACH)	15			20250707		0000000000	000000
P100	ZP10	B10	10130794	1040	0014601088	組立小型手直(他責)	CZ040	SNF	A00A1201200	SW-V02    (REACH)	15			20250707		0000000000	000000
P100	ZP10	B10	10130794	1050	0014601089	検査手直し(自責)	C0970	SNF	A00A1201200	SW-V02    (REACH)	15			20250707		0000000000	000000
P100	ZP10	B10	10130794	1060	0014601090	検査手直し(他責)	C0980	SNF	A00A1201200	SW-V02    (REACH)	15			20250707		0000000000	000000
P100	ZP10	B10	10130795	0010	0014601092	メイン部品払出	CW010	SN	A00A1201200	SW-V02    (REACH)	15	15		20250820		0000000000	000000
P100	ZP10	B10	10130795	0020	0014601093	部品仕分け	C0931	SN	A00A1201200	SW-V02    (REACH)	15	15		20250820		0000000000	000000
P100	ZP10	B10	10130795	0022	0014601103	外注加工(スクリーン印刷)	C0921	SG	A00A1201200	SW-V02    (REACH)	15			20250820		0000000000	000000
P100	ZP10	B10	10130795	0025	0014601094	外注加工	C0921	SN	A00A1201200	SW-V02    (REACH)	15			20250820		0000000000	000000
P100	ZP10	B10	10130795	0028	0015792127	外注加工	C0922	SG	A00A1201200	SW-V02    (REACH)	15			20250820		0000000000	000000
P100	ZP10	B10	10130795	0030	0014601095	外注加工	C0921	SN	A00A1201200	SW-V02    (REACH)	15			20250820		0000000000	000000
P100	ZP10	B10	10130795	0040	0014601096	総合組立	C0921	MSN	A00A1201200	SW-V02    (REACH)	15		1765	20250820		0000000000	000000
P100	ZP10	B10	10130795	0050	0014601097	製品検査	C0953	SN	A00A1201200	SW-V02    (REACH)	15			20250820		0000000000	000000
